iter	CatBoostEvalMetricPearson	RMSE
0	0.1031625272	0.524895615411	0.1648637113	0.511003047422	0.2734001885	0.497165385333	0.292384114	0.483989309444	0.2871410456	0.471161723755	0.3360857333	0.458608232
6	0.3418353037	0.446858310177	0.3461391154	0.435106949488	0.3505617336	0.423946007999	0.3664142107	0.4130877881110	0.3664142107	0.402460866111	0.4019660759	0.3924181041112	0.4180244515	0.3827957125113	0.4201564207	0.3733360449114	0.4220952404	0.3641521113115	0.430216879	0.3554604968
16	0.5072102909	0.346693825
17	0.5044978787	0.3384134617
18	0.5427775301	0.3300091041
19	0.5664557535	0.3218106986
20	0.5746654081	0.313797542
21	0.5879812326	0.306433886
22	0.594099047	0.2991188731
23	0.5958403419	0.2920437394
24	0.5966552871	0.2855924808
25	0.6037917224	0.2789800944
26	0.6028941287	0.2728756787
27	0.6028282859	0.2666546316
28	0.6008333797	0.2608103459
29	0.5996863497	0.2550525527
30	0.6016612245	0.2498248084
31	0.6012727913	0.2445950814
32	0.6061147533	0.2394250775
33	0.6057436299	0.2344135641
34	0.6070866354	0.2295918502335	0.6090412912	0.2253635991336	0.6110770086	0.2208120909337	0.6117757372	0.2168887892338	0.6143755325	0.2128365683339	0.614498662	0.2088158437440	0.6151619844	0.2048622025441	0.6141373076	0.2011895562442	0.6137693417	0.19763216
43	0.614284094	0.194116118
44	0.617963624	0.190855614
45	0.6179992045	0.1879841913
46	0.6196028648	0.1849240206
47	0.6186048649	0.1820685895
48	0.6218241174	0.1792605918
49	0.6233295824	0.1766286315
50	0.6230537267	0.1740665048
51	0.6238994361	0.1716247548
52	0.6257572584	0.1692588052
53	0.6272767284	0.1669718525
54	0.6297270328	0.1647476832
55	0.6296940171	0.1626601302
56	0.6307644807	0.1607325946
57	0.6304274755	0.1588250331
58	0.6303699892	0.1570134622
59	0.6308727474	0.1552810281
60	0.6305214496	0.1536128948
61	0.6312210862	0.1519894475
62	0.6315206704	0.1504503391
63	0.6326354567	0.1490046205
