iter	CatBoostEvalMetricPearson	RMSE
0	0.5749071593	0.1902217852
1	0.5855137065	0.1888785166
2	0.617161575	0.1875421987
3	0.6251973422	0.186333914
4	0.6254852281	0.1852505018
5	0.6382829065	0.1840841105
6	0.6419295019	0.1827879569
7	0.6394396017	0.1816419937
8	0.6431391722	0.1805527236
9	0.6419387078	0.1795178166
10	0.6417467718	0.1785806819
11	0.6472444979	0.1776682316
12	0.6482215529	0.1768348701
13	0.6499653337	0.1758242682
14	0.6486933938	0.1749325403
15	0.6491080353	0.1739830201
16	0.6528754545	0.1730536336
17	0.6558425841	0.172240673
18	0.6566137543	0.1713110107
19	0.6580900653	0.170409238
20	0.6590070602	0.169651066
21	0.6596595428	0.1688471911
22	0.6596530993	0.1680669323
23	0.6608662957	0.1673422957
24	0.6630734131	0.1666723536
25	0.6641981468	0.1659149139
26	0.6653069251	0.1652799956
27	0.6669073399	0.1645951447
28	0.6692127137	0.1638458823
29	0.6692337637	0.1633498891
30	0.6685032408	0.1628378796
31	0.6686462306	0.1622524835
32	0.6696046104	0.1616035283
33	0.6702444839	0.1610719107
34	0.671270574	0.1605396084
35	0.6717328919	0.16012194
36	0.6724998697	0.15959511
37	0.6751885807	0.1589062402
38	0.6765667937	0.1583319265
39	0.6772681586	0.1578032966
40	0.6775891679	0.1573674819
41	0.6790528948	0.1568420505
42	0.6806624255	0.156292777
43	0.6811275861	0.1558535492
44	0.6823749167	0.1554296755
45	0.6828043635	0.1550679113
46	0.6836224956	0.1546302635
47	0.6842490359	0.1543082916
48	0.6851142897	0.1539191731
49	0.6852529417	0.1535326869
50	0.685181302	0.1532243553
51	0.6859713866	0.1527794511
52	0.6871106771	0.152378353
53	0.6880373236	0.1520299386
54	0.6883743988	0.1517308834
55	0.6888929252	0.1513590975
56	0.689596629	0.1510282357
57	0.6889680329	0.1508010509
58	0.6898652713	0.1504428258
59	0.6914453236	0.1500597636
60	0.6932000712	0.1495133753
61	0.6930032668	0.1492454851
62	0.6934699937	0.1489080462
63	0.6944666982	0.1485561104
64	0.6949591992	0.1482734118
65	0.6954823293	0.1480121468
66	0.6958472847	0.1477573451
67	0.6961403661	0.147529244
68	0.6966988886	0.1472659564
69	0.6975040412	0.1469404294
70	0.6986515055	0.1465634258
71	0.6995200359	0.1462812125
72	0.6995463081	0.1461010231
73	0.7001304424	0.1458598184
74	0.7013636528	0.1455594671
75	0.7024505384	0.1452417562
76	0.7029121681	0.145046923
77	0.7039722564	0.1447777273
78	0.7044758429	0.1445007494
79	0.7051982625	0.1442602232
80	0.7063584709	0.1439238817
81	0.7066398712	0.1437208124
82	0.7075044628	0.1434606634
83	0.7085229721	0.1431503616
84	0.7098541681	0.1429155354
85	0.7112977491	0.1426407521
86	0.7117910062	0.142423721
87	0.711974443	0.1422628105
88	0.7133750777	0.1419376287
89	0.7138750336	0.1417625248
90	0.7144762739	0.1415974965
91	0.7143545914	0.1415136371
92	0.7146719861	0.1413324633
93	0.7157861861	0.1410917766
94	0.7161117702	0.1409247264
95	0.7163458628	0.1407893989
96	0.7170581209	0.1405640086
97	0.7174027723	0.1404370384
98	0.7183090221	0.1402205935
99	0.718627299	0.1400647521
100	0.7194411161	0.1398642533
101	0.7207006237	0.1395973679
102	0.7215837124	0.139378321
103	0.7227652777	0.1391366753
104	0.7233215371	0.1389378384
105	0.7242255169	0.1387531902
106	0.7247416807	0.1386385529
107	0.7259010408	0.1384368589
