iter	Passed	Remaining
0	418	1254865
1	424	636715
2	430	429663
3	437	327965
4	443	265511
5	449	224290
6	455	194737
7	460	172072
8	468	155724
9	474	141737
10	480	130535
11	486	121255
12	491	113030
13	499	106466
14	504	100368
15	510	95129
16	516	90661
17	521	86391
18	525	82497
19	531	79122
20	535	75980
21	540	73177
22	546	70786
23	552	68460
24	557	66302
25	563	64420
26	569	62725
27	575	61044
28	581	59545
29	586	58102
30	598	57292
31	603	55958
32	609	54762
33	616	53746
34	624	52903
35	631	52023
36	637	51061
37	646	50357
38	651	49454
39	656	48593
40	662	47824
41	667	47045
42	673	46314
43	680	45686
44	685	45015
45	691	44397
46	697	43802
47	702	43216
48	708	42661
49	714	42148
50	719	41605
51	725	41154
52	731	40684
53	737	40229
54	743	39790
55	748	39347
56	754	38932
57	756	38379
58	762	38022
59	769	37692
60	775	37381
61	781	37030
62	786	36689
63	793	36399
64	798	36050
65	803	35704
66	810	35463
67	816	35217
68	824	35015
69	830	34743
70	835	34468
71	841	34201
72	845	33907
73	851	33650
74	857	33449
75	863	33234
76	868	32987
77	875	32814
78	881	32580
79	886	32340
80	892	32173
81	897	31935
82	903	31738
83	908	31537
84	913	31327
85	919	31150
86	924	30952
87	929	30743
88	933	30547
89	939	30385
90	944	30199
91	946	29903
92	949	29666
93	954	29500
94	959	29337
95	968	29282
96	974	29156
97	980	29023
98	985	28871
99	990	28720
100	995	28581
101	1001	28453
102	1006	28314
103	1011	28168
104	1016	28030
105	1021	27898
106	1026	27754
107	1031	27626
108	1036	27502
109	1042	27380
110	1047	27255
111	1052	27145
112	1058	27045
113	1064	26940
114	1070	26857
115	1075	26749
116	1080	26630
117	1086	26540
118	1092	26443
119	1097	26348
120	1104	26274
121	1109	26177
122	1115	26103
123	1121	26021
124	1128	25944
125	1135	25898
126	1144	25885
127	1155	25917
128	1163	25899
129	1175	25951
130	1190	26083
131	1203	26147
132	1210	26084
133	1216	26028
134	1224	25980
135	1230	25910
136	1240	25925
137	1249	25910
138	1264	26022
139	1272	26004
140	1278	25931
141	1289	25943
142	1294	25859
143	1303	25849
144	1310	25800
145	1318	25783
146	1326	25746
147	1337	25780
148	1345	25739
149	1353	25711
150	1360	25674
151	1371	25705
152	1378	25644
153	1387	25639
154	1395	25612
155	1407	25667
156	1416	25651
157	1423	25613
158	1432	25602
159	1444	25633
160	1452	25606
161	1455	25498
162	1464	25497
163	1475	25519
164	1482	25480
165	1491	25456
166	1497	25409
167	1508	25424
168	1521	25494
169	1530	25470
170	1537	25433
171	1539	25312
172	1549	25315
173	1559	25325
174	1566	25283
175	1574	25263
176	1584	25268
177	1590	25221
178	1600	25224
179	1607	25184
180	1615	25161
181	1623	25138
182	1632	25123
183	1638	25082
184	1645	25042
185	1654	25023
186	1664	25032
187	1671	25000
188	1678	24965
189	1684	24916
190	1693	24909
191	1699	24860
192	1706	24818
193	1712	24775
194	1720	24745
195	1728	24724
196	1733	24670
197	1744	24680
198	1750	24645
199	1760	24652
200	1767	24611
201	1777	24621
202	1784	24583
203	1792	24572
204	1801	24568
205	1810	24552
206	1817	24528
207	1825	24497
208	1832	24472
209	1839	24442
210	1845	24397
211	1853	24380
212	1861	24361
213	1869	24344
214	1878	24335
215	1887	24331
216	1896	24325
217	1905	24314
218	1911	24274
219	1919	24251
220	1927	24233
221	1928	24136
222	1935	24108
223	1945	24106
224	1964	24231
225	1974	24235
226	1984	24241
227	1997	24281
228	2006	24281
229	2012	24241
230	2022	24240
231	2027	24190
232	2034	24158
233	2041	24125
234	2046	24081
235	2054	24064
236	2062	24039
237	2072	24046
238	2078	24006
239	2086	23998
240	2093	23970
241	2105	23996
242	2114	23985
243	2122	23977
244	2129	23946
245	2135	23908
246	2141	23871
247	2153	23897
248	2160	23868
249	2169	23864
250	2176	23837
251	2185	23830
252	2192	23807
253	2199	23773
254	2205	23742
255	2211	23707
256	2219	23689
257	2225	23656
258	2231	23614
259	2237	23584
260	2243	23546
261	2250	23517
262	2256	23483
263	2263	23456
264	2270	23438
265	2277	23408
266	2285	23395
267	2295	23402
268	2308	23437
269	2320	23460
270	2326	23428
271	2334	23414
272	2340	23383
273	2348	23363
274	2355	23339
275	2362	23314
276	2369	23293
277	2374	23249
278	2381	23221
279	2386	23182
280	2392	23147
281	2397	23106
282	2402	23066
283	2408	23035
284	2414	23000
285	2421	22976
286	2428	22961
287	2435	22936
288	2443	22917
289	2449	22886
290	2454	22850
291	2460	22815
292	2466	22785
293	2472	22756
294	2478	22722
295	2484	22692
296	2489	22659
297	2497	22642
298	2502	22609
299	2510	22597
300	2517	22572
301	2523	22543
302	2529	22511
303	2534	22473
304	2540	22446
